Model,Metric,Value
Base H++(Combined),SARI,0.86853001
Base H++(Combined),Fluency,0.555
Base H++(Combined),Corr. P,0.980952381
Base H++(Combined),Copies,0.061904762
Base H++(Combined),GFI,12.68142857
Base H++(Combined),FRE,62.74314286
Base H++(Combined),FKGL,10.14285714
Base H++(Combined),ARI,12.46857143
Base H++(Combined),ASL,22.65571429
Base H++(Separate),SARI,0.87632248
Base H++(Separate),Fluency,0.555
Base H++(Separate),Corr. P,0.99047619
Base H++(Separate),Copies,0.071428571
Base H++(Separate),GFI,12.60352381
Base H++(Separate),FRE,62.79147619
Base H++(Separate),FKGL,10.12238095
Base H++(Separate),ARI,12.46095238
Base H++(Separate),ASL,22.60809524
Base H++(Combined) LHyp,SARI,0.889127344
Base H++(Combined) LHyp,Fluency,0.555
Base H++(Combined) LHyp,Corr. P,1
Base H++(Combined) LHyp,Copies,0.061904762
Base H++(Combined) LHyp,GFI,12.63357143
Base H++(Combined) LHyp,FRE,62.78028571
Base H++(Combined) LHyp,FKGL,10.14571429
Base H++(Combined) LHyp,ARI,12.54952381
Base H++(Combined) LHyp,ASL,22.69857143
Base H++(Separate) LHyp,SARI,0.901085101
Base H++(Separate) LHyp,Fluency,0.555
Base H++(Separate) LHyp,Corr. P,0.99047619
Base H++(Separate) LHyp,Copies,0.038095238
Base H++(Separate) LHyp,GFI,12.6082381
Base H++(Separate) LHyp,FRE,63.01747619
Base H++(Separate) LHyp,FKGL,10.10428571
Base H++(Separate) LHyp,ARI,12.51714286
Base H++(Separate) LHyp,ASL,22.66333333
Base H++(Original),SARI,0.837489293
Base H++(Original),Fluency,0.555
Base H++(Original),Corr. P,1
Base H++(Original),Copies,0.1
Base H++(Original),GFI,12.56842857
Base H++(Original),FRE,63.64909524
Base H++(Original),FKGL,10.00095238
Base H++(Original),ARI,12.38
Base H++(Original),ASL,22.59666667
Base String Prefix,SARI,0.930266506
Base String Prefix,Fluency,0.555
Base String Prefix,Corr. P,0.99047619
Base String Prefix,Copies,0.033333333
Base String Prefix,GFI,12.74761905
Base String Prefix,FRE,61.93133333
Base String Prefix,FKGL,10.29571429
Base String Prefix,ARI,12.69285714
Base String Prefix,ASL,22.82047619
