OriginalID,SourceLevel,TargetLevel,SourceText,TargetText,split
5486,ELE,INT,"Leifert and his colleagues conclude that many antioxidants reduce the risk of serious diseases, including diseases of the heart and certain cancers.","Leifert and his colleagues conclude that many antioxidants have previously been linked to a reduced risk of chronic diseases, including cardiovascular diseases, neurodegenerative diseases and certain cancers.",train
4835,ELE,INT,"Finally, in 1990, after a vote among Conservative MPs failed to support her, John Major took control of the party.","After a vote among Conservative MPs failed to support her, John Major took control of the party.",train
5474,ELE,INT,The ban on wolf hunting in the western Carpathian mountains became law in 1995 and in the whole of Poland in 1998.,The ban on wolf hunting in the western Carpathians became law in 1995 and in the whole of Poland in 1998.,train
5475,ELE,INT,There are now wolf packs in nearly all the countrys major forests where the wolves exist together with humans.,There are now wolf packs in nearly all the countrys major forests where the wolves coexist with humans.,train
4920,ELE,INT,Reject pessimism and know that progress is possible.,"Reject pessimism, cynicism and know that progress is possible.",train
5007,ELE,INT,"When two people on a remote Pacific island saw a small boat washed up on the beach, they decided to take a closer look.","When two people from the Marshall Islands saw a small fibreglass boat washed up on the beach of a remote Pacific island, they decided to take a closer look.",train
4963,ELE,INT,"In Northumberland Dark Sky Park, it is so dark that Venus casts a shadow on the Earth.","In Northumberland Dark Sky Park, as the area was renamed, it is so dark that Venus casts a shadow on the Earth.",train
4852,ELE,INT,"Holger von Neuhoff, a curator at the museum, said this bottled message was the oldest he had ever seen.","Holger von Neuhoff, a curator at the museum, said this bottled message was the oldest he had come across.",train
4629,ELE,INT,"If we want to find whats going on with the midlife crisis, we should look at what is similar in middle-aged humans, chimps and orangutans, he said.     ","If we want to find the answer to the question of whats going on with the midlife crisis, we should look at what is similar in middle-aged humans, chimps and orangutans, he said.",train
4795,ELE,INT,"Antibiotics have become drugs that are expensive to develop, that are only used in short courses and that quickly stop working because of bacterial resistance.","Antibiotics have become drugs that are expensive to develop, that are only used in short courses and that quickly become ineffective due to the changes in bacterial resistance.",train
5887,ELE,INT,"In fact, he earned just 10 from the patent and has not made any money from it since.","In fact, he earned just 10 from the patent and has not made a penny more from it since.",train
5234,ELE,INT,The Cardews could solve Harriets problem by giving her an Icelandic middle name.,The Cardews could get round Harriets problem by giving her an Icelandic middle name.,train
5045,ELE,INT,"Since 2013, Cuban authorities have opened hundreds of internet salons, where an hour online costs $4.50.","Since 2013, Cuban authorities have opened hundreds of internet salons, where an hour online costs $4.50, at speeds far lower than those at Kchos studio of around 2mbps.",train
5783,ELE,INT,He learnt the guitar from a family friend and learnt to sing with a quartet of gospel singers.,He learnt the basics of guitar from a family friend and perfected his singing with a quartet of gospel singers.,train
5070,ELE,INT,The title comes from a piece of music by Japanese composer Toru Takemitsu.,The title is taken from a piece of music by Japanese composer Toru Takemitsu.,train
5890,ELE,INT,"At around the same time, Shepherd-Barron was developing a similar machine.","At around the same time, Shepherd-Barron was developing a rival machine.",train
5130,ELE,INT,"As a woman, its made me happy, said Vronique Soulier, president of the clubs supporters association.","As a woman, its made me happy, Vronique Soulier, president of the clubs supporters association, told journalists.",train
5561,ELE,INT,"Her lawyer, Vincent Toledano, told Le Figaro that Delacourts novel illegally used Ms Johanssons name.","Her lawyer, Vincent Toledano, told Le Figaro that Delacourts novel illegally used Ms Johanssons name, her reputation and her image.",train
4704,ELE,INT,"This is a very big day for Wales and, most importantly, for the 226 people in Wales who are waiting for an organ transplant, said the Welsh Health Minister, Mark Drakeford.","This is a huge day for Wales and, most importantly, for the 226 people in Wales waiting for an organ transplant, said the Welsh Health Minister, Mark Drakeford.",train
5703,ELE,INT,The Spanish team started their work after a group of cave explorers found two skeletons in a deep cave high up in the Cantabrian Mountains of northwest Spain in 2006.,The Spanish team started their work after a group of cave explorers found two skeletons in a deep and complex cave system high up in the Cantabrian Mountains of northwest Spain in 2006.,train
5193,ELE,INT,It could be even more difficult to get the legal permissions to copy and store software before it dies.,It could be even more difficult to obtain the legal permissions to copy and store software before it dies.,train
5688,ELE,INT,"We do not yet live in an age of  ying cars, as predicted in the 1985  lm Back to the Future II, but smartphones and other new technologies are creating exciting possibilities.","We may not yet be living in an age of  ying cars, as predicted in the 1985  lm Back to the Future II, but the rise of smartphones and other new technologies is creating a reality that is just as exciting and almost as far-fetched.",train
5944,ELE,INT,"FIFA spokesman Saint-Clair Milesi said that only 48,000 of the 51,900 seats were  lled at the game between the Netherlands and Spain.","FIFA spokesman Saint-Clair Milesi con rmed that only 48,000 of the 51,900 seats at the Netherlands versus Spain game were filled.",train
5346,ELE,INT,"The group plans to send a lander and satellite to Mars in 2018, followed by a rover in 2020 and cargo missions starting in 2022.","The official timeline for the mission says the group plans to send a stationary lander and satellite to Mars in 2018, followed by a rover in 2020 and cargo missions starting in 2022.",train
5907,ELE,INT,Many of us know we dont get enough sleep but imagine if there was a simple solution: getting up later.,Many of us know we dont get enough sleep but imagine if we could  x it with a fairly simple solution: getting up later.,train
4578,ELE,INT,The researchers interviewed some of the people about a computer game called Never End that they played for seven minutes.,"Some were interviewed about a computer game Never End, which they played for seven minutes.",train
4603,ELE,INT,"The mission hopes to inspire people to believe that all things are possible, that you can achieve anything, like the Apollo moon landings.","The mission hopes to inspire generations to believe that all things are possible, that anything can be achieved, like the Apollo moon landings.",train
4832,ELE,INT,"The Labour Party disagreed with a lot of what she did, but we can disagree and also greatly respect her political achievements and her personal strength.",But we can disagree and also greatly respect her political achievements and her personal strength.,train
5514,ELE,INT,"In reality, both things happen and climate models that include the second possibility predict much higher future temperatures than the models that only include the nine-mile-high clouds.","In reality, both processes happen and climate models that included the second possibility predicted significantly higher future temperatures than models that only included the nine-mile-high clouds.",train
4353,ELE,INT,The charity said that the $240bn made in 2012 by the richest 100 billionaires would be enough to end extreme poverty four times over.,"Without naming anyone, the charity argued that the $240bn made in 2012 by the richest 100 billionaires would be enough to end extreme poverty four times over.",train
4539,ELE,INT,"Today, because of that travel advice, peoples insurance isnt valid when they visit here.","Today, unfortunately, as a result of that travel advice, peoples insurance isnt valid when they visit here.",train
5963,ELE,INT,"Kate Faehrmann, of the Sea Shepherd Conservation Society, said, from a protest in Perth, the state capital of Western Australia: Weve always said that this idea wont work.","Kate Faehrmann, of the Sea Shepherd Conservation Society, said from a protest in the state capital, Perth: Weve always said that this policy wont work.",train
5021,ELE,INT,Modi said that yoga is a gift of Indias ancient tradition.,Modi said that yoga is an invaluable gift of Indias ancient tradition.,train
5712,ELE,INT,Two mothers in South Africa have found out that they are raising each others daughters after someone switched them at birth by mistake in a hospital in 2010.,Two mothers in South Africa have found out that they are raising each others daughters after they were mistakenly switched at birth in a hospital in 2010.,train
4680,ELE,INT,"Like many others, he felt they needed the money for other things  for extra carers to look after Rjukans old people, perhaps, or better schools, cycle paths and roads.","Like many others, he felt that the money should have been spent on other things  on extra carers to look after Rjukans old people, perhaps, or improved school facilities, cycle paths and roads.",train
5246,ELE,INT,"As the air is pushed down, the wing gets an equal and opposite push up, and this lifts the plane.         ","As the air is pushed down, the wing gets an equal and opposite push upwards, lifting the plane.",train
4889,ELE,INT,"Ramadan will then fall during winter and, in Iqaluit, the sun will rise and set within a few hours each day.","Ramadan will eventually fall during winter and, in Iqaluit, the sun will rise and set within a few hours each day.",train
4754,ELE,INT,"Following tradition, a formal notice was put on an easel  the same easel that was used to announce Prince Williams birth in 1982  in front of Buckingham Palace just before 9pm.","Following tradition, a formal notice was posted on an easel  the same used to announce Prince Williams birth in 1982  in the forecourt of Buckingham Palace shortly before 9pm.",train
5867,ELE,INT,"One hundred years ago, Venice  one of the most beautiful and low-lying cities in the world  used to  ood about ten times a year.","A century ago, Venice  one of the most beautiful and low-lying cities in the world  used to  ood around ten times a year.",train
4326,ELE,INT,We want everyone to be who he and she is  whether they are gay and lesbian or try to stop violence and are then victims of harassment.,We want everyone to be who he and she is  whether they are gay and lesbian or resist violence and are then victims of harassment.,train
4858,ELE,INT,Not sleeping very much used to be a sign that you were busy and important.,Sleep deprivation used to be a sign that you were busy and important and very much in demand.,train
4937,ELE,INT,Moss grows through bricks and mirrored tiles are lying on a bathroom floor.,Moss grows through shattered bricks and mirrored tiles are lying on a bathroom floor.,train
4727,ELE,INT,The researchers say their latest work could make it possible to connect many brains to share information.,They say their latest work could make it possible for multiple brains to be connected to share information.,train
5932,ELE,INT,"But, the rest of us live here all year.","But, the rest of us live here year round.",train
4733,ELE,INT,"In the final test, the scientists connected rats on different continents and used the internet to send their brain activity.","In the final test, the scientists connected rats on different continents and used the internet to send their brain activity back and forth.",train
4958,ELE,INT,"Instead, they decide to use their powerful telescopes to look at Jupiter and Venus and, later, to find stars such as Capella and Betelgeuse.","Instead, they decide to use their powerful telescopes to observe Jupiter and Venus and, later, to pick out stars such as Capella and Betelgeuse.",train
5140,ELE,INT,"But Soulier was hopeful: Hopefully, with the new manager, the club can find the motivation they dont have at the moment, she said.","But Soulier was hopeful: Hopefully, with the new manager, the club can find the motivation theyre lacking at the moment, she said.",train
5849,ELE,INT,"The UK has improved in the past ten years, thanks to a campaign to reduce waste.",The UK has made progress in the past ten years after a campaign to reduce waste.,train
5602,ELE,INT,SeaWorld started a national marketing campaign to show this isnt true.,SeaWorld started a marketing campaign to show that this isnt true.,train
